TRACK_ID,TOTAL_STREAM,DAILY_STREAM,DATE,PREVIOUS_DAILY_STREAM
2D1BGzlocoxwNBBf2nMwMk,42680591,4886.0,2024-01-01,0.0
3m4mW6nG5V94FkGBE1YvRG,43054012,4462.0,2024-01-01,0.0
2EFZ9emtKWEglWUQGEQ3P9,43172170,75991.0,2024-01-01,0.0
4UwqOWDpdeIDVQDuKT6iza,44156280,213863.0,2024-01-01,0.0
75W3SngKzTuoQ94uLf3y82,44190766,192804.0,2024-01-01,0.0
7vBlnGdfOLzVEqiOQQxeU8,44425215,9397.0,2024-01-01,0.0
2ve0kuaWUCt4Zx8x4bf1MR,44737315,206514.0,2024-01-01,0.0
0HmCuN0Z3OX1Qrz43FLOPL,44952625,7401.0,2024-01-01,0.0
01QdEx6kFr78ZejhQtWR5m,45114099,36886.0,2024-01-01,0.0
6ON9UuIq49xXY9GPmHIYRp,45252633,39201.0,2024-01-01,0.0
0JIdBrXGSJXS72zjF9ss9u,45364975,34357.0,2024-01-01,0.0
2f0GI2ZLUtbGqFx8t2Gk6A,45658081,204380.0,2024-01-01,0.0
645Exr2lJIO45Guht3qyIa,45846698,84845.0,2024-01-01,0.0
2JoJrsEV15OzbijS47lids,46187334,39561.0,2024-01-01,0.0
5jAIouBES8LWMiriuNq170,46272726,37276.0,2024-01-01,0.0
7an1exwMnfYRcdVQm0yDev,38003043,29641.0,2024-01-01,0.0
6INztpNwOTlfSKTuPo0HOP,37616792,110430.0,2024-01-01,0.0
2hmafYGj1CXYKIYcMnX4lj,37125164,27617.0,2024-01-01,0.0
12nBPF4Rh4XLFJV0YLN7uj,36733338,60236.0,2024-01-01,0.0
62rlxI6g2PNaWsHoiRryto,23143929,6837.0,2024-01-01,0.0
5G9AVKld9q7DCrmoY42raf,23477851,2195.0,2024-01-01,0.0
1Ygm9KdH3wbzDekO8JgxcW,23710230,8549.0,2024-01-01,0.0
5zytSTR2g0I9psX2Z12ex6,24712610,4460.0,2024-01-01,0.0
2R7C9dDqv1UPycvepBFziA,24992690,3973.0,2024-01-01,0.0
2d3d9xZutJjmUpntiyHt3F,25285698,23435.0,2024-01-01,0.0
1yACRKAwlXWhXXFUSkvzhD,26129768,5085.0,2024-01-01,0.0
2QA3IixpRcKyOdG7XDzRgv,26153665,22485.0,2024-01-01,0.0
46HGgtwmmuEB8mvDCyjyAc,26546189,3908.0,2024-01-01,0.0
0gPmM1WtVRg3uENW3o8bfx,29458477,42804.0,2024-01-01,0.0
6K0CJLVXqbGMeJSmJ4ENKK,29477843,24805.0,2024-01-01,0.0
2IprIjGNRlj3TfqUWCAo0C,29478868,24035.0,2024-01-01,0.0
4pJi1rVt9GNegU9kywjg4z,29615333,21427.0,2024-01-01,0.0
7mFiEij8AXPUZB7aKLbUlQ,6554897,2446.0,2024-01-01,0.0
1P5QpwOgXJuoVTm3CWbnLY,30393053,6460.0,2024-01-01,0.0
4evLyY5Ue1Wesc61t2KXAU,31023711,49578.0,2024-01-01,0.0
