song_urls,song_ids,song_streams,song_daily
https://open.spotify.com/track/43rA71bccXFGD4C8GOpIlN,43rA71bccXFGD4C8GOpIlN,290843772,187954
https://open.spotify.com/track/5OndtwLGA9O6XHFcGm2H7r,5OndtwLGA9O6XHFcGm2H7r,290793023,352382
https://open.spotify.com/track/2CYVETnhM9aytqrazYYwrK,2CYVETnhM9aytqrazYYwrK,289849014,449723
https://open.spotify.com/track/7kt9e9LFSpN1zQtYEl19o1,7kt9e9LFSpN1zQtYEl19o1,289182954,373101
https://open.spotify.com/track/3pHkh7d0lzM2AldUtz2x37,3pHkh7d0lzM2AldUtz2x37,287313198,348343
https://open.spotify.com/track/1xwAWUI6Dj0WGC3KiUPN0O,1xwAWUI6Dj0WGC3KiUPN0O,286041703,429977
https://open.spotify.com/track/2Eeur20xVqfUoM3Q7EFPFt,2Eeur20xVqfUoM3Q7EFPFt,280163224,290794
https://open.spotify.com/track/2NmsngXHeC1GQ9wWrzhOMf,2NmsngXHeC1GQ9wWrzhOMf,277145433,375159
https://open.spotify.com/track/6VsvKPJ4xjVNKpI8VVZ3SV,6VsvKPJ4xjVNKpI8VVZ3SV,272131801,351293
https://open.spotify.com/track/5kI4eCXXzyuIUXjQra0Cxi,5kI4eCXXzyuIUXjQra0Cxi,270849119,281282
https://open.spotify.com/track/15DeqWWQB4dcEWzJg15VrN,15DeqWWQB4dcEWzJg15VrN,264756546,330763
https://open.spotify.com/track/3Z1kZKYfRC8iRXnYeC5sCJ,3Z1kZKYfRC8iRXnYeC5sCJ,258493233,67013
https://open.spotify.com/track/1LLXZFeAHK9R4xUramtUKw,1LLXZFeAHK9R4xUramtUKw,255337816,369616
https://open.spotify.com/track/214nt20w5wOxJnY462klLw,214nt20w5wOxJnY462klLw,254718027,402121
https://open.spotify.com/track/12M5uqx0ZuwkpLp5rJim1a,12M5uqx0ZuwkpLp5rJim1a,252546869,350984
https://open.spotify.com/track/7FmYn9e7KHMXcxqGSj9LjH,7FmYn9e7KHMXcxqGSj9LjH,246402818,361733
https://open.spotify.com/track/1fzAuUVbzlhZ1lJAx9PtY6,1fzAuUVbzlhZ1lJAx9PtY6,245524476,539346
https://open.spotify.com/track/0heeNYlwOGuUSe7TgUD27B,0heeNYlwOGuUSe7TgUD27B,241348677,238790
https://open.spotify.com/track/3i9UVldZOE0aD0JnyfAZZ0,3i9UVldZOE0aD0JnyfAZZ0,239656388,229119
https://open.spotify.com/track/17yraMKqmZIKAv3iaGcoLX,17yraMKqmZIKAv3iaGcoLX,238319327,700061
https://open.spotify.com/track/6rZVy6FIG7lSJQMFXHo12z,6rZVy6FIG7lSJQMFXHo12z,237675317,428605
https://open.spotify.com/track/4yBEU0askBZzE2XEVdEwmx,4yBEU0askBZzE2XEVdEwmx,236469120,79354
https://open.spotify.com/track/6KJqZcs9XDgVck7Lg9QOTC,6KJqZcs9XDgVck7Lg9QOTC,235998885,319682
https://open.spotify.com/track/7HH8rEmkK5JENnv869MDCz,7HH8rEmkK5JENnv869MDCz,232614989,61971
https://open.spotify.com/track/6AtZLIzUINvExIUy4QhdjP,6AtZLIzUINvExIUy4QhdjP,229899842,461966
https://open.spotify.com/track/6oVxXO5oQ4pTpO8RSnkzvv,6oVxXO5oQ4pTpO8RSnkzvv,229269412,413738
https://open.spotify.com/track/2dgFqt3w9xIQRjhPtwNk3D,2dgFqt3w9xIQRjhPtwNk3D,228257668,256070
https://open.spotify.com/track/5BK0uqwY9DNfZ630STAEaq,5BK0uqwY9DNfZ630STAEaq,227832848,238881
https://open.spotify.com/track/3zwMVvkBe2qIKDObWgXw4N,3zwMVvkBe2qIKDObWgXw4N,220678143,460114
https://open.spotify.com/track/0z9UVN8VBHJ9HdfYsOuuNf,0z9UVN8VBHJ9HdfYsOuuNf,219238055,44001
https://open.spotify.com/track/6qnM0XXPZOINWA778uNqQ9,6qnM0XXPZOINWA778uNqQ9,219104223,258829
https://open.spotify.com/track/2YWtcWi3a83pdEg3Gif4Pd,2YWtcWi3a83pdEg3Gif4Pd,218344529,231790
https://open.spotify.com/track/3RaT22zZsxVYxxKR7TAaYF,3RaT22zZsxVYxxKR7TAaYF,218179270,230613
https://open.spotify.com/track/5YqltLsjdqFtvqE7Nrysvs,5YqltLsjdqFtvqE7Nrysvs,215222465,445334
https://open.spotify.com/track/5yEPktRqvIhko5QFF3aBhQ,5yEPktRqvIhko5QFF3aBhQ,213507794,74226
https://open.spotify.com/track/4OAuvHryIVv4kMDNSLuPt6,4OAuvHryIVv4kMDNSLuPt6,211756849,328102
https://open.spotify.com/track/0dBW6ZsW8skfvoRfgeerBF,0dBW6ZsW8skfvoRfgeerBF,207697504,76313
https://open.spotify.com/track/0PurA4JVJ8YQgSVopY8fn6,0PurA4JVJ8YQgSVopY8fn6,207370124,282419
https://open.spotify.com/track/3UMrglJeju5yWyYIW6o99b,3UMrglJeju5yWyYIW6o99b,207094958,334995
https://open.spotify.com/track/0wavGRldH0AWyu2zvTz8zb,0wavGRldH0AWyu2zvTz8zb,207020990,283396
https://open.spotify.com/track/0A1JLUlkZkp2EFrosoNQi0,0A1JLUlkZkp2EFrosoNQi0,204887393,235286
https://open.spotify.com/track/4wFUdSCer8bdQsrp1M90sa,4wFUdSCer8bdQsrp1M90sa,203521601,104748
https://open.spotify.com/track/7HuBDWi18s4aJM8UFnNheH,7HuBDWi18s4aJM8UFnNheH,202936377,276090
https://open.spotify.com/track/7dW84mWkdWE5a6lFWxJCBG,7dW84mWkdWE5a6lFWxJCBG,200909517,241871
https://open.spotify.com/track/0dAb8TY433dl3ZfXYCLE19,0dAb8TY433dl3ZfXYCLE19,199773590,230027
https://open.spotify.com/track/0aV5uARAknQgYhBaK944FP,0aV5uARAknQgYhBaK944FP,198763995,286389
https://open.spotify.com/track/3nsfB1vus2qaloUdcBZvDu,3nsfB1vus2qaloUdcBZvDu,194485859,257898
https://open.spotify.com/track/7I7JbDv63ZJJsSi24DyJrz,7I7JbDv63ZJJsSi24DyJrz,193336018,218164
https://open.spotify.com/track/7zMcNqs55Mxer82bvZFkpg,7zMcNqs55Mxer82bvZFkpg,185425258,118740
https://open.spotify.com/track/3yII7UwgLF6K5zW3xad3MP,3yII7UwgLF6K5zW3xad3MP,181245761,382682
https://open.spotify.com/track/5hQSXkFgbxjZo9uCwd11so,5hQSXkFgbxjZo9uCwd11so,175753981,231060
