track_id,popularity
1gcyHQpBQ1lfXGdhZmWrHP,73
3Dby3p1m6IOZn2gIIqECgK,71
6sQckd3Z8NPxVVKUnavY1F,71
6lCvK2AR2uOKkVFCVlAzzm,71
6uwfVkaOM1mcMkFmSn35ix,70
55Vf4bimc1Rtfg0PAQRAo2,69
66tOfHVH3aUrscg8vExRV4,68
2awNGIJHodfLZSClB3PYhz,69
43Ykum9T72UOPhBN31grpN,69
52OkpDsU6MmPx1AwGOb6Ap,69
5VYWxXUpxuxEmCqMLDqICo,69
5uICWmZTLkpEVbK22PBP6e,69
6a8aUhYbaQBUI8PcJ5ZmQ6,66
6Wlq9rqkxrqj5Kls4Kw14H,70
3zwMVvkBe2qIKDObWgXw4N,80
1kdWw77ZpYOkhxeuhzU1j6,72
0lx2cLdOt3piJbcaXIV74f,80
0sY6ZUTh4yoctD8VIXz339,81
5BK0uqwY9DNfZ630STAEaq,73
7dW84mWkdWE5a6lFWxJCBG,74
0PurA4JVJ8YQgSVopY8fn6,76
3RaT22zZsxVYxxKR7TAaYF,72
73YUReisjb3A9ActdLLjJQ,69
670fUmXf4KQekzbEgaXyPA,68
3k7ne7VmH43ZPWxPdvPUgR,67
19CSr8rwW05VJL2F91KFNK,72
1XjHRolIXL2M1EEOUsGGR4,71
2o2sgVJIgFXk8GQjWTgI6U,68
12ntTeqEeTg7GAVpe8Mhpl,73
35rdVq36LMHQX0Suw9a6tK,65
3O5osWf1rSoKMwe6E9ZaXP,69
0P9wLFurlgumLXuqFEpw52,54
7zcnlq38eqNWyUF6eNaB5Z,56
4ojxSyrEraN7d46BMBPThZ,53
6kz2hkq1xQvDqPcUyBkw8f,55
0Oju1YcbPCJuUQQWoZNdJK,53
5jQyGzcwqAxwT5QUIMivoX,52
2vJ7QvyCiR4DaHxwO58izA,52
1UHoF9p75IVsvUt6WdTYhn,56
5DnDBYrfGoxdnomqEAkFIv,53
7CVTowKpGPA2MsIbkTl2oc,52
4WHIqhrbdva5vQSrCuet3l,53
7klXN6RCN5Rj0VeYO5gBzU,50
5MFjHn1qfR9AsWuyzJLk1z,49
2jhfs6moEAK13eLM6xim4l,51
0O9i6jhscByEJs1ipy5hu4,49
4XCYmu7QLySdIahgBALKJK,49
0zEprKYeuGOIZoHyu6O1E2,50
08J4bMHbILkwSIhbtrcvjN,59
3EPgWM1zfTSzEc0z4AwWTM,61
28tIMaewZuGR8urkvFhQyA,57
7N015NTIWGjQDddHUdHPoO,59
5mdNyCS7ttVcAyVYOIFEjs,61
2yceD2hx5HhOLgkm1CITCi,59
4cOWq0cVsKjxaQpRMbDoH1,57
4MGexoZc12lqE0hYkq9YYx,60
1gaLZjPrDnHQWJds2Jg4KT,60
560uQyz3p5G9WdnMX39xc6,58
5KByGq0JijSSDcy0qzuINs,57
04xrhDrQ2WOW8GLwu7kbc0,55
4yyKppX85ZkmlGOC2toBZA,55
1mh5dObNoOvCfHmXnhvDEK,57
4YHHz3VIXgNDGdoL9xC1tx,55
0QTBsdoJhamY3Aid3fOsOd,56
6mqyTq948oap5AkyTsd6XF,58
4pfrrhvplbJZAIsfosGWQP,74
0KRYCBwIpWYFNrXOmXbyUh,74
2olxzvoFI9IpxqFeUv7WOX,72
5S4aYQAJOwJMAamANWlICO,74
5P2bHCDM2tsgIaYWsZMhu5,73
2I8YAEA1VmCuP1wkJHMpTw,72
76mOLcXOjOEhyY4mMF1l3r,72
6nK2pIKFcRc5frrZKHgsiT,74
7cm50Lw03k6VvRauJtkyTj,72
6DrLROM5MG9bxWHeEG5elq,72
2ehRU518I0hYqMGQnk4lDY,72
0RP1kqoSPkVXsKiQNhMKzV,70
1EXa37LpSvi3OQ9UYQ28rD,68
3IhtE4fkytdrtEfV34UzkD,71
6JlI8Ay77m4nJvZTHvfT1J,69
0YeDG5HnKnG7jpArkzsSPa,68
0eFQWVz0qIxDOvhLpZ40P7,72
0Jlcvv8IykzHaSmj49uNW8,80
4R2kfaDFhslZEMJqAFNpdd,90
2Eeur20xVqfUoM3Q7EFPFt,76
4pvb0WLRcMtbPGmtejJJ6y,82
1MgV7FIyNxIG7WzMRJV5HC,80
0ZNU020wNYvgW84iljPkPP,80
6KJqZcs9XDgVck7Lg9QOTC,76
3hUxzQpSfdDqwM3ZTFQY0K,91
7kt9e9LFSpN1zQtYEl19o1,78
2NmsngXHeC1GQ9wWrzhOMf,79
6VsvKPJ4xjVNKpI8VVZ3SV,77
2QDyYdZyhlP2fp79KZX8Bi,71
08fa9LFcFBTcilB3iq2e2A,69
5kI4eCXXzyuIUXjQra0Cxi,77
7MbT4I8qGntX4fMdqMQgke,71
6MWoRt97mnSTXZhu3ggi9C,70
43rA71bccXFGD4C8GOpIlN,77
1BxfuPKGuaTgP7aM0Bbdwr,98
1dGr1c8CrMLDpV6mPbImSI,90
3RauEVgRgj1IuWdJ9fDs70,85
3pHkh7d0lzM2AldUtz2x37,81
2YWtcWi3a83pdEg3Gif4Pd,78
214nt20w5wOxJnY462klLw,82
4y5bvROuBDPr5fuwXbIBZR,85
12M5uqx0ZuwkpLp5rJim1a,80
2dgFqt3w9xIQRjhPtwNk3D,79
1LLXZFeAHK9R4xUramtUKw,81
4AYtqFyFbX0Xkc2wtcygTr,72
5hQSXkFgbxjZo9uCwd11so,78
6RRNNciQGZEXnqk8SQ9yv5,82
1SymEzIT3H8UZfibCs3TYi,81
2Rk4JlNc2TPmZe2af99d45,80
1SmiQ65iSAbPto6gPFlBYm,72
1fzAuUVbzlhZ1lJAx9PtY6,83
2yLa0QULdQr0qAIvVwN6B5,83
2x0WlnmfG39ZuDmstl9xfX,80
4svZDCRz4cJoneBpjpx8DJ,81
1R0a2iXumgCiFb7HEZ7gUE,90
6NFyWDv5CjfwuzoCkw47Xf,86
1P17dC1amhFzptugyAO7Il,85
5PxFv9yJEg9dxvbZggykro,75
1ZY1PqizIl78geGM4xWlEA,83
0VE4kBnHJUgtMf0dy6DRmW,86
7HuBDWi18s4aJM8UFnNheH,79
7I7JbDv63ZJJsSi24DyJrz,77
6oVxXO5oQ4pTpO8RSnkzvv,81
07NxDD1iKCHbAldceD7QLP,77
1GwMQaZz6Au3QLDbjbMdme,80
7F5oktn5YOsR9eR5YsFtqb,75
