ALBUM_ID,ALBUM_NAME,ALBUM_RELEASE_DATE,ALBUM_COVER
7HEXQkjBNiZilJcTWXwLOA,Delicate (Sawyr And Ryan Tedder Mix),2018-05-25,https://i.scdn.co/image/ab67616d0000b273d8032a149cd86c879c9df63a
43OpbkiiIxJO8ktIB777Nn,Fearless Platinum Edition,2008-11-11,https://i.scdn.co/image/ab67616d0000b27334e5885465afc8a497ac1b7e
6EsTJnpahwW6xX20zvqQgZ,1989 (Big Machine Radio Release Special),2014-10-27,https://i.scdn.co/image/ab67616d0000b2730432bfd9e6adb616fd8bcc97
3x4gaf5IPyFQNrxZY07CXA,Love Story (Taylor's Version) [Elvira Remix],2021-03-23,https://i.scdn.co/image/ab67616d0000b273f2d3584898505ffee9cacfde
40cMfQDrBCDmOaWZuNEmKq,the lakes (original version),2021-07-24,https://i.scdn.co/image/ab67616d0000b2737d60bda8f85d66599c3fe851
20wq0dFrgEhhulGXqnb4A6,Anti-Hero (ILLENIUM Remix),2022-11-18,https://i.scdn.co/image/ab67616d0000b273eb7289d463cd524a93b722c9
1pzvBxYgT6OVwJLtHkrdQK,folklore (deluxe version),2020-08-18,https://i.scdn.co/image/ab67616d0000b273c288028c2592f400dd0b9233
6WzAiEDGTU7KmEyGwLpBXB,willow (the witch collection),2020-12-16,https://i.scdn.co/image/ab67616d0000b2738312c50a6b9046d7dea5de12
4jTYApZPMapg56gRycOn0D,Red (Big Machine Radio Release Special),2012-10-22,https://i.scdn.co/image/ab67616d0000b2731c248e90c3e569f90aef9dec
5f4rbgZJhYp4hgswKri00b,Christmas Tree Farm (Old Timey Version),2021-11-22,https://i.scdn.co/image/ab67616d0000b2738538f5677d3ffe87257ac6c2
27cx8eVCV4xMwJEYJNl1nw,folklore: the yeah I showed up at your party chapter,2020-09-21,https://i.scdn.co/image/ab67616d0000b273d7004b0da78a8aefa965ca55
2O1NYIBQCUobrL97A2Unk8,All Too Well (10 Minute Version) (The Short Film),2022-06-11,https://i.scdn.co/image/ab67616d0000b2738e16c6e20dbed531a9006d58
5Mc6uebYtKnRc5I7bjlNB6,First Two Pages of Frankenstein,2023-04-28,https://i.scdn.co/image/ab67616d0000b273364c819937072957a9220847
2dqn5yOQWdyGwOpOIi9O4x,Fearless,2008-11-11,https://i.scdn.co/image/ab67616d0000b2737b25c072237f29ee50025fdc
74utZeTCeaXy01BjOddyv8,Spotify Singles,2018-04-13,https://i.scdn.co/image/ab67616d0000b273bae8f095c58e137855f6d230
7gU675c7KZ54MzEcL1O3px,Delicate (Seeb Remix),2018-06-08,https://i.scdn.co/image/ab67616d0000b2737809d9723e21370fe5926a7c
64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),2023-10-26,https://i.scdn.co/image/ab67616d0000b273904445d70d04eb24d6bb79ac
63lVCnv8B30qedCiTlAc9J,Red (Karaoke Version),2012-10-22,https://i.scdn.co/image/ab67616d0000b273f38d22516eda9a650c00ad4a
151w1FgRZfnKZA9FEcg9Z3,Midnights,2022-10-21,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
5vgWXUueeEU2labRz6TlNv,Anti-Hero (Acoustic Version),2022-11-25,https://i.scdn.co/image/ab67616d0000b2730fc559ebbed8b0b100ad206c
3OjtXmDVcfHAjJOS3xBoYU,Cats: Highlights From The Motion Picture Soundtrack,2019-12-20,https://i.scdn.co/image/ab67616d0000b27370d80ce758278c0ac3a63d9e
1MHuZZrGT36cXLxAQ5cLP3,Taylor Swift Karaoke: reputation,2018-03-09,https://i.scdn.co/image/ab67616d0000b27305fd6906725e3f12544c2d04
5LGsh3kexUfi3qkIIxb8vK,Only The Young (Featured in Miss Americana),2020-01-31,https://i.scdn.co/image/ab67616d0000b2734aa13f6de271d8403a82e4a8
2KLFL8R9r2ubCQxbBxgLT7,The More Lover Chapter,2019-08-23,https://i.scdn.co/image/ab67616d0000b273b40f953d9ebdc956544e28a5
12A1Byk8EpqzaHSw12nKyW,The Cruelest Summer,2023-10-19,https://i.scdn.co/image/ab67616d0000b273905c0872bdf4e1787a6bb5da
3kqqalY92DENp7FiztDOjH,cardigan (cabin in candlelight version),2020-07-30,https://i.scdn.co/image/ab67616d0000b27326ade10c17424417bd06f1d6
