TRACK_ID,TOTAL_STREAM,DAILY_STREAM
1BxfuPKGuaTgP7aM0Bbdwr,2622686216,1921094
1p80LdxRV74UKvL8gnD7ky,1960149669,818834
55n9yjI6qqXh5F2mYvUc2y,1767223031,726576
0V3wPSX9ygBnCm8psDIegu,1718803540,825678
1dGr1c8CrMLDpV6mPbImSI,1608881944,1010523
5xTtaWoae3wi06K5WfVUUH,1522591246,623813
4R2kfaDFhslZEMJqAFNpdd,1490955681,1022623
3hUxzQpSfdDqwM3ZTFQY0K,1315245375,1043710
4lIxdJw6W3Fg4vUIYCB0S5,1309407056,558560
1R0a2iXumgCiFb7HEZ7gUE,1271615207,850489
1P17dC1amhFzptugyAO7Il,1241358110,509447
6NFyWDv5CjfwuzoCkw47Xf,1076728791,545138
59HjlYCeBsxdI0fcm3zglw,1018637131,323688
6RRNNciQGZEXnqk8SQ9yv5,1005129734,346613
1vrd6UOGamcKNGnSHJQlSt,946850663,301239
5enxwA8aAbwZbf5qCHORXi,940338804,633855
0lx2cLdOt3piJbcaXIV74f,925179704,446857
6FB3v4YcR57y4tXFcdxI1E,901587866,339676
2Rk4JlNc2TPmZe2af99d45,897624714,204927
6YvqWjhGD8mB5QXcbcUKtx,887078263,674655
10eBRyImhfqVvkiVEGf0N0,866164312,348844
7KokYm8cMIXCsGVmUvKtqf,862896263,455169
3RauEVgRgj1IuWdJ9fDs70,855291676,474543
4pvb0WLRcMtbPGmtejJJ6y,836554638,466461
2yLa0QULdQr0qAIvVwN6B5,822059064,467598
1K39ty6o1sHwwlZwO6a7wK,821265397,459739
1qrpoAMXodY6895hGKoUpA,782466735,726358
5jQI2r1RdgtuT8S3iG8zFC,774082721,378150
6dODwocEuGzHAavXqTbwHv,746532868,1291730
0VE4kBnHJUgtMf0dy6DRmW,730298364,369146
3rWDp9tBPQR9z6U5YyRSK4,720669330,417036
4y5bvROuBDPr5fuwXbIBZR,704731481,314330
0VwNdo84DaVYLIkbVO86ND,701738505,167628
0sY6ZUTh4yoctD8VIXz339,685257878,480934
3GCL1PydwsLodcpv0Ll1ch,683021141,231497
4D7BCuvgdJlYvlX5WlN54t,664037938,535034
1ZY1PqizIl78geGM4xWlEA,641312819,250318
273dCMFseLcVsoSWx59IoE,637932196,192847
0Jlcvv8IykzHaSmj49uNW8,626334419,382711
3qoftcUZaUOncvIYjFSPdE,597048366,338911
1MgV7FIyNxIG7WzMRJV5HC,589435360,578176
2x0WlnmfG39ZuDmstl9xfX,534038622,201499
2fPvQfGQEZOKtJ9qXeL4x8,523161601,1010608
3eX0NZfLtGzoLUxPNvRfqm,501788731,292597
4svZDCRz4cJoneBpjpx8DJ,484326750,242674
2NmsngXHeC1GQ9wWrzhOMf,476555200,363263
1Iq8oo9XkmmvCQiGOfORiz,473890935,351918
1fzAuUVbzlhZ1lJAx9PtY6,465104984,405608
0ZNU020wNYvgW84iljPkPP,462803299,272090
1wtOxkiel43cVs0Yux5Q4h,459370007,185283
22bPsP2jCgbLUvh82U0Z3M,456999463,256826
3pHkh7d0lzM2AldUtz2x37,443886179,254784
1GwMQaZz6Au3QLDbjbMdme,443651211,268334
7kt9e9LFSpN1zQtYEl19o1,443063514,306044
1xwAWUI6Dj0WGC3KiUPN0O,441479605,270097
214nt20w5wOxJnY462klLw,439186057,293390
1SymEzIT3H8UZfibCs3TYi,418003037,216055
3DrjZArsPsoqbLzUZZV1Id,414673728,129348
6AtZLIzUINvExIUy4QhdjP,411959412,292597
6ce41JVa6KFaryfmC2bu2W,410044536,98978
6VsvKPJ4xjVNKpI8VVZ3SV,409686515,254614
17yraMKqmZIKAv3iaGcoLX,401009510,235379
2CYVETnhM9aytqrazYYwrK,400052688,179164
2Eeur20xVqfUoM3Q7EFPFt,392935931,176644
5YqltLsjdqFtvqE7Nrysvs,391718243,282853
5kI4eCXXzyuIUXjQra0Cxi,390910387,200631
7FmYn9e7KHMXcxqGSj9LjH,383899812,234323
15DeqWWQB4dcEWzJg15VrN,378801671,184028
3zwMVvkBe2qIKDObWgXw4N,374729965,301190
6oVxXO5oQ4pTpO8RSnkzvv,374378184,295151
12M5uqx0ZuwkpLp5rJim1a,366278855,201951
1LLXZFeAHK9R4xUramtUKw,362847747,174804
