TRACK_ID,TOTAL_STREAM,DAILY_STREAM
1BxfuPKGuaTgP7aM0Bbdwr,1823975425,4731876
1p80LdxRV74UKvL8gnD7ky,1738138110,1099308
55n9yjI6qqXh5F2mYvUc2y,1589724101,987453
0V3wPSX9ygBnCm8psDIegu,1432773872,1847604
5xTtaWoae3wi06K5WfVUUH,1337044398,777492
1dGr1c8CrMLDpV6mPbImSI,1269556332,1980262
4R2kfaDFhslZEMJqAFNpdd,1178570783,1729550
4lIxdJw6W3Fg4vUIYCB0S5,1147963570,802257
1P17dC1amhFzptugyAO7Il,1088469579,868748
1R0a2iXumgCiFb7HEZ7gUE,1013241120,1480768
3hUxzQpSfdDqwM3ZTFQY0K,985541746,1348312
6NFyWDv5CjfwuzoCkw47Xf,927040653,827419
59HjlYCeBsxdI0fcm3zglw,923957933,462338
6RRNNciQGZEXnqk8SQ9yv5,879861334,715230
1vrd6UOGamcKNGnSHJQlSt,851724432,448298
2Rk4JlNc2TPmZe2af99d45,830898726,347005
6FB3v4YcR57y4tXFcdxI1E,796877089,458911
0lx2cLdOt3piJbcaXIV74f,783850277,869863
5enxwA8aAbwZbf5qCHORXi,779284828,881427
10eBRyImhfqVvkiVEGf0N0,768175110,498839
4pvb0WLRcMtbPGmtejJJ6y,708748193,691178
3RauEVgRgj1IuWdJ9fDs70,696850804,845442
7KokYm8cMIXCsGVmUvKtqf,696034576,1150446
6YvqWjhGD8mB5QXcbcUKtx,672562965,1120168
2yLa0QULdQr0qAIvVwN6B5,664325603,884289
5jQI2r1RdgtuT8S3iG8zFC,662461621,659710
1K39ty6o1sHwwlZwO6a7wK,662135253,932747
0VwNdo84DaVYLIkbVO86ND,647725088,228458
3GCL1PydwsLodcpv0Ll1ch,616388204,293661
0VE4kBnHJUgtMf0dy6DRmW,611873303,844747
3rWDp9tBPQR9z6U5YyRSK4,607190677,711102
4y5bvROuBDPr5fuwXbIBZR,602600888,625661
1qrpoAMXodY6895hGKoUpA,581294370,1048724
273dCMFseLcVsoSWx59IoE,575648152,311049
0sY6ZUTh4yoctD8VIXz339,565436282,659421
1ZY1PqizIl78geGM4xWlEA,562961789,454217
0Jlcvv8IykzHaSmj49uNW8,532364472,588709
4D7BCuvgdJlYvlX5WlN54t,529318820,794575
3qoftcUZaUOncvIYjFSPdE,486394141,695210
2x0WlnmfG39ZuDmstl9xfX,472554431,370178
1MgV7FIyNxIG7WzMRJV5HC,436275790,601559
3eX0NZfLtGzoLUxPNvRfqm,426951024,407863
4svZDCRz4cJoneBpjpx8DJ,413889495,404650
1wtOxkiel43cVs0Yux5Q4h,408359615,291976
0ZNU020wNYvgW84iljPkPP,385886622,475486
22bPsP2jCgbLUvh82U0Z3M,383020879,413418
3DrjZArsPsoqbLzUZZV1Id,380128728,174517
6ce41JVa6KFaryfmC2bu2W,376943222,154573
1GwMQaZz6Au3QLDbjbMdme,376137875,403507
2NmsngXHeC1GQ9wWrzhOMf,365412582,703692
1xwAWUI6Dj0WGC3KiUPN0O,364504582,446071
3pHkh7d0lzM2AldUtz2x37,362487680,570278
7kt9e9LFSpN1zQtYEl19o1,359445373,472457
1SymEzIT3H8UZfibCs3TYi,354224252,401925
1fzAuUVbzlhZ1lJAx9PtY6,347576590,651732
2CYVETnhM9aytqrazYYwrK,347419650,331356
6VsvKPJ4xjVNKpI8VVZ3SV,337099518,425057
2Eeur20xVqfUoM3Q7EFPFt,336857606,392096
214nt20w5wOxJnY462klLw,335296594,595859
17yraMKqmZIKAv3iaGcoLX,327250395,479218
5kI4eCXXzyuIUXjQra0Cxi,326497724,377262
43rA71bccXFGD4C8GOpIlN,322107496,195944
1Iq8oo9XkmmvCQiGOfORiz,320369978,1559709
5OndtwLGA9O6XHFcGm2H7r,318202254,84543
15DeqWWQB4dcEWzJg15VrN,316634778,316532
7FmYn9e7KHMXcxqGSj9LjH,314303882,410862
6AtZLIzUINvExIUy4QhdjP,311885720,556864
1LLXZFeAHK9R4xUramtUKw,306993633,303243
12M5uqx0ZuwkpLp5rJim1a,306776944,326843
3zwMVvkBe2qIKDObWgXw4N,299315178,481561
6oVxXO5oQ4pTpO8RSnkzvv,296746459,447758
5YqltLsjdqFtvqE7Nrysvs,296094286,548294
6KJqZcs9XDgVck7Lg9QOTC,287676950,321801
0heeNYlwOGuUSe7TgUD27B,281970718,232157
0PurA4JVJ8YQgSVopY8fn6,280695202,495446
3i9UVldZOE0aD0JnyfAZZ0,276337026,149305
6rZVy6FIG7lSJQMFXHo12z,271692530,110377
5BK0uqwY9DNfZ630STAEaq,270159643,252136
2dgFqt3w9xIQRjhPtwNk3D,269589009,241192
3Z1kZKYfRC8iRXnYeC5sCJ,269263338,65150
4OAuvHryIVv4kMDNSLuPt6,264060020,335405
2VuqMjgoKaOHNM8HpxtXKx,259193931,291460
3RaT22zZsxVYxxKR7TAaYF,258290882,239699
2YWtcWi3a83pdEg3Gif4Pd,257801467,239869
77sMIMlNaSURUAXq5coCxE,256612728,561311
