TRACK_ID,TOTAL_STREAM,DAILY_STREAM
1BxfuPKGuaTgP7aM0Bbdwr,2674063425,1768372
1p80LdxRV74UKvL8gnD7ky,1979314695,704704
55n9yjI6qqXh5F2mYvUc2y,1784258377,616038
0V3wPSX9ygBnCm8psDIegu,1737934625,675594
1dGr1c8CrMLDpV6mPbImSI,1633167283,913942
5xTtaWoae3wi06K5WfVUUH,1538046342,589396
4R2kfaDFhslZEMJqAFNpdd,1516026481,873540
3hUxzQpSfdDqwM3ZTFQY0K,1339834468,822875
4lIxdJw6W3Fg4vUIYCB0S5,1321675067,448742
1R0a2iXumgCiFb7HEZ7gUE,1291098578,684856
1P17dC1amhFzptugyAO7Il,1252988209,417414
6NFyWDv5CjfwuzoCkw47Xf,1089030752,438561
59HjlYCeBsxdI0fcm3zglw,1025804294,262532
6RRNNciQGZEXnqk8SQ9yv5,1013300955,281493
5enxwA8aAbwZbf5qCHORXi,954878791,503571
1vrd6UOGamcKNGnSHJQlSt,954078710,265474
0lx2cLdOt3piJbcaXIV74f,935493163,348546
6FB3v4YcR57y4tXFcdxI1E,909767104,319678
6YvqWjhGD8mB5QXcbcUKtx,902973779,572642
2Rk4JlNc2TPmZe2af99d45,902239627,164854
10eBRyImhfqVvkiVEGf0N0,874184499,293252
7KokYm8cMIXCsGVmUvKtqf,873342817,348780
3RauEVgRgj1IuWdJ9fDs70,866723160,409914
4pvb0WLRcMtbPGmtejJJ6y,847622359,371744
2yLa0QULdQr0qAIvVwN6B5,833524197,404200
1K39ty6o1sHwwlZwO6a7wK,832508616,392735
1qrpoAMXodY6895hGKoUpA,799611690,627191
5jQI2r1RdgtuT8S3iG8zFC,782615258,281946
6dODwocEuGzHAavXqTbwHv,781361541,1152658
0VE4kBnHJUgtMf0dy6DRmW,739012161,313391
3rWDp9tBPQR9z6U5YyRSK4,730370920,322006
4y5bvROuBDPr5fuwXbIBZR,712125998,257368
0VwNdo84DaVYLIkbVO86ND,705808215,164607
0sY6ZUTh4yoctD8VIXz339,696192356,368739
3GCL1PydwsLodcpv0Ll1ch,688217018,190186
4D7BCuvgdJlYvlX5WlN54t,676795497,413301
1ZY1PqizIl78geGM4xWlEA,647224640,210071
273dCMFseLcVsoSWx59IoE,642455972,169573
0Jlcvv8IykzHaSmj49uNW8,634960740,283034
3qoftcUZaUOncvIYjFSPdE,605658027,290174
1MgV7FIyNxIG7WzMRJV5HC,603506119,506989
2fPvQfGQEZOKtJ9qXeL4x8,549458050,876802
2x0WlnmfG39ZuDmstl9xfX,538811361,170326
3eX0NZfLtGzoLUxPNvRfqm,508515165,230332
4svZDCRz4cJoneBpjpx8DJ,490023643,202832
2NmsngXHeC1GQ9wWrzhOMf,485834716,319447
1Iq8oo9XkmmvCQiGOfORiz,482575912,299495
1fzAuUVbzlhZ1lJAx9PtY6,475064813,378652
0ZNU020wNYvgW84iljPkPP,469250694,212293
1wtOxkiel43cVs0Yux5Q4h,463593178,151233
22bPsP2jCgbLUvh82U0Z3M,462879806,203773
7kt9e9LFSpN1zQtYEl19o1,450289590,236892
1GwMQaZz6Au3QLDbjbMdme,450104406,232359
3pHkh7d0lzM2AldUtz2x37,449709355,196832
1xwAWUI6Dj0WGC3KiUPN0O,447497550,202759
214nt20w5wOxJnY462klLw,446706199,262216
1SymEzIT3H8UZfibCs3TYi,423378484,191124
6AtZLIzUINvExIUy4QhdjP,419056785,252589
3DrjZArsPsoqbLzUZZV1Id,418355830,130504
6VsvKPJ4xjVNKpI8VVZ3SV,415880972,209622
6ce41JVa6KFaryfmC2bu2W,412422028,84598
17yraMKqmZIKAv3iaGcoLX,406676030,195425
2CYVETnhM9aytqrazYYwrK,404207333,143950
5YqltLsjdqFtvqE7Nrysvs,398481409,249620
2Eeur20xVqfUoM3Q7EFPFt,397088275,137014
5kI4eCXXzyuIUXjQra0Cxi,395575722,151789
7FmYn9e7KHMXcxqGSj9LjH,389803105,191393
15DeqWWQB4dcEWzJg15VrN,382968165,150657
3zwMVvkBe2qIKDObWgXw4N,381941465,245786
6oVxXO5oQ4pTpO8RSnkzvv,381009112,237255
1kbEbBdEgQdQeLXCJh28pJ,374775562,453414
12M5uqx0ZuwkpLp5rJim1a,371058903,177742
1LLXZFeAHK9R4xUramtUKw,366990764,150559
3sW3oSbzsfecv9XoUdGs7h,366502860,324083
43rA71bccXFGD4C8GOpIlN,362504644,96184
77sMIMlNaSURUAXq5coCxE,361029739,246178
0PurA4JVJ8YQgSVopY8fn6,359749829,205744
799KrpEbhZp0MHeiA8YK9P,350360983,510040
6KJqZcs9XDgVck7Lg9QOTC,345226453,142064
5KD6AEm19QnMbfWpfoOHMl,339605618,306212
71BqAINEnezjQfxE4VuJfq,335044897,299737
5OndtwLGA9O6XHFcGm2H7r,334337809,36859
3yII7UwgLF6K5zW3xad3MP,333828156,181747
4OAuvHryIVv4kMDNSLuPt6,324861519,175571
0heeNYlwOGuUSe7TgUD27B,321571685,101497
2dgFqt3w9xIQRjhPtwNk3D,316769033,120608
2VuqMjgoKaOHNM8HpxtXKx,314606999,155712
5BK0uqwY9DNfZ630STAEaq,314514896,119258
0A1JLUlkZkp2EFrosoNQi0,313095480,166600
0wavGRldH0AWyu2zvTz8zb,308162179,153195
2d8UxVNhJinc8uat9PoM9y,305636526,411623
3i9UVldZOE0aD0JnyfAZZ0,303847500,71188
3RaT22zZsxVYxxKR7TAaYF,303135672,120341
2YWtcWi3a83pdEg3Gif4Pd,302309289,100931
4txojlesMFQZGWxwz2EeqB,301684340,149209
7HuBDWi18s4aJM8UFnNheH,300656720,130841
3nsfB1vus2qaloUdcBZvDu,298780900,161516
7wAkQFShJ27V8362MqevQr,297941584,378874
7dW84mWkdWE5a6lFWxJCBG,296103190,233161
1hjRhYpWyqDpPahmSlUTlc,293973014,326573
6rZVy6FIG7lSJQMFXHo12z,292665965,51842
5kHMfzgLZP95O9NBy0ku4v,285392183,146776
3Z1kZKYfRC8iRXnYeC5sCJ,284313785,44688
5QVVjX0ZItqlVpEuVCM9Yg,284178730,135331
7uGYWMwRy24dm7RUDDhUlD,281359801,376425
7I7JbDv63ZJJsSi24DyJrz,278970041,120919
3CWq0pAKKTWb0K4yiglDc4,277710341,293285
5hQSXkFgbxjZo9uCwd11so,271925856,170377
4QMgEffJQuKtjCNvqfRZ0m,268706243,327635
4yBEU0askBZzE2XEVdEwmx,265082676,40454
6qnM0XXPZOINWA778uNqQ9,259554421,43790
45wMBGri1PORPjM9PwFfrS,258982781,321027
7HH8rEmkK5JENnv869MDCz,255940753,33929
12ntTeqEeTg7GAVpe8Mhpl,253181151,147770
4wFUdSCer8bdQsrp1M90sa,249084519,72465
01K4zKU104LyJ8gMb7227B,246789655,121838
3O5osWf1rSoKMwe6E9ZaXP,245204631,142727
07NxDD1iKCHbAldceD7QLP,244368372,90700
19CSr8rwW05VJL2F91KFNK,244239100,111341
0z9UVN8VBHJ9HdfYsOuuNf,240804317,30060
5yEPktRqvIhko5QFF3aBhQ,240280649,35091
4PdLaGZubp4lghChqp8erB,238811825,272526
5ExOm0dh4NyRyAdSAO9hyM,236774511,285631
4CkgMiMqZ5JzW9iYXSTMTL,236618210,102841
2QDyYdZyhlP2fp79KZX8Bi,235413201,90844
1xtw1krCR6Dw2KwkXw5z63,232028731,326723
0dBW6ZsW8skfvoRfgeerBF,231832242,31886
7zMcNqs55Mxer82bvZFkpg,231726059,61878
79uDOz0zuuWS7HWxzMmTa2,231005828,214594
7MbT4I8qGntX4fMdqMQgke,230789563,89634
0dAb8TY433dl3ZfXYCLE19,224994888,20161
2mvabkN1i2gLnGAPUVdwek,223698449,2144424
7F5oktn5YOsR9eR5YsFtqb,220500438,151476
3xYJScVfxByb61dYHTwiby,220158341,144394
4zmKGsrXjLmljb5fTaBTot,219940486,163262
7Mts0OfPorF4iwOomvfqn1,218727818,439071
4NioO5R9sHEZh4cGzMHyNt,218578897,175508
2o2sgVJIgFXk8GQjWTgI6U,218536927,94156
3YkNIrAvbKNrrwwEd7NVLl,217158144,329511
3z6XUommYDWPHeFhmhhT6j,217063956,115774
32mVHdy0bi1XKgr0ajsBlG,215814842,85324
1XjHRolIXL2M1EEOUsGGR4,212381987,110358
7G0gBu6nLdhFDPRLc0HdDG,212060827,156117
73YUReisjb3A9ActdLLjJQ,207048281,96312
6MWoRt97mnSTXZhu3ggi9C,206845740,88653
71CBDRKmF2VeRKYMG1DFBh,206361709,101333
5tWxKWq1DSP1s9WQ5PWuqu,204448178,90782
5PxFv9yJEg9dxvbZggykro,203844228,89660
08fa9LFcFBTcilB3iq2e2A,202523845,73653
2ythurkTtSiyfK7GprJoFW,202240689,40285
06WgOCf0LV2h4keYXDRnuh,200827594,21007
3k7ne7VmH43ZPWxPdvPUgR,199420556,86464
6xsEAm6w9oMQYYg3jkEkMT,197495752,58426
6N1K5OVVCopBjGViHs2IvP,197384611,59908
670fUmXf4KQekzbEgaXyPA,193526332,93593
6pYNq0ZwpPVazKzsqpf0G8,192211037,82711
6d9IiDcFxtFVIvt9pCqyGH,190139442,28407
1tuNqJOtRQVHvONR8Lg3MZ,188062575,247584
7qEUFOVcxRI19tbT68JcYK,176435073,104483
