TRACK_ID,TOTAL_STREAM,DAILY_STREAM
1BxfuPKGuaTgP7aM0Bbdwr,2016969368,4434175
1p80LdxRV74UKvL8gnD7ky,1784723065,1130320
55n9yjI6qqXh5F2mYvUc2y,1629260964,844949
0V3wPSX9ygBnCm8psDIegu,1507128735,1830134
5xTtaWoae3wi06K5WfVUUH,1372218049,748132
1dGr1c8CrMLDpV6mPbImSI,1347447662,1837734
4R2kfaDFhslZEMJqAFNpdd,1249270067,1582546
4lIxdJw6W3Fg4vUIYCB0S5,1182305321,696947
1P17dC1amhFzptugyAO7Il,1122932315,597937
1R0a2iXumgCiFb7HEZ7gUE,1072354972,1271220
3hUxzQpSfdDqwM3ZTFQY0K,1046999673,2002527
6NFyWDv5CjfwuzoCkw47Xf,960814979,590433
59HjlYCeBsxdI0fcm3zglw,943663213,430307
6RRNNciQGZEXnqk8SQ9yv5,908742632,647007
1vrd6UOGamcKNGnSHJQlSt,870963857,412732
2Rk4JlNc2TPmZe2af99d45,845892136,280897
6FB3v4YcR57y4tXFcdxI1E,817822335,441580
0lx2cLdOt3piJbcaXIV74f,817686839,601478
5enxwA8aAbwZbf5qCHORXi,814212602,612887
10eBRyImhfqVvkiVEGf0N0,788825923,412114
7KokYm8cMIXCsGVmUvKtqf,742817162,1059869
4pvb0WLRcMtbPGmtejJJ6y,735608935,497955
3RauEVgRgj1IuWdJ9fDs70,732711825,644103
6YvqWjhGD8mB5QXcbcUKtx,720112522,1255154
1K39ty6o1sHwwlZwO6a7wK,699674564,727676
2yLa0QULdQr0qAIvVwN6B5,699379600,599981
5jQI2r1RdgtuT8S3iG8zFC,689248657,568620
0VwNdo84DaVYLIkbVO86ND,658478158,237706
0VE4kBnHJUgtMf0dy6DRmW,644339853,563465
3rWDp9tBPQR9z6U5YyRSK4,635737963,544355
3GCL1PydwsLodcpv0Ll1ch,629461339,282189
4y5bvROuBDPr5fuwXbIBZR,628037091,426023
1qrpoAMXodY6895hGKoUpA,624137519,740013
0sY6ZUTh4yoctD8VIXz339,591811941,442741
273dCMFseLcVsoSWx59IoE,589047431,271009
1ZY1PqizIl78geGM4xWlEA,581115181,326834
4D7BCuvgdJlYvlX5WlN54t,562976409,703077
0Jlcvv8IykzHaSmj49uNW8,555792744,366394
3qoftcUZaUOncvIYjFSPdE,514708352,509241
2x0WlnmfG39ZuDmstl9xfX,487187753,253954
1MgV7FIyNxIG7WzMRJV5HC,460208783,575990
3eX0NZfLtGzoLUxPNvRfqm,445087737,488857
4svZDCRz4cJoneBpjpx8DJ,429565893,266196
1wtOxkiel43cVs0Yux5Q4h,420214374,260721
0ZNU020wNYvgW84iljPkPP,403968499,295493
22bPsP2jCgbLUvh82U0Z3M,399304352,269447
2NmsngXHeC1GQ9wWrzhOMf,392258659,437359
1GwMQaZz6Au3QLDbjbMdme,391482211,283778
3DrjZArsPsoqbLzUZZV1Id,387157666,141005
3pHkh7d0lzM2AldUtz2x37,384734282,413058
6ce41JVa6KFaryfmC2bu2W,383719756,135190
1xwAWUI6Dj0WGC3KiUPN0O,382421879,339138
1Iq8oo9XkmmvCQiGOfORiz,378550189,1239202
7kt9e9LFSpN1zQtYEl19o1,378365429,328685
1fzAuUVbzlhZ1lJAx9PtY6,374239960,532229
1SymEzIT3H8UZfibCs3TYi,370179099,324460
2CYVETnhM9aytqrazYYwrK,360059040,216510
214nt20w5wOxJnY462klLw,359537757,546822
6VsvKPJ4xjVNKpI8VVZ3SV,353643946,321844
2Eeur20xVqfUoM3Q7EFPFt,352020464,228814
17yraMKqmZIKAv3iaGcoLX,346238641,312368
5kI4eCXXzyuIUXjQra0Cxi,341017882,220367
6AtZLIzUINvExIUy4QhdjP,333710749,373963
43rA71bccXFGD4C8GOpIlN,330918694,166214
7FmYn9e7KHMXcxqGSj9LjH,330578901,300171
15DeqWWQB4dcEWzJg15VrN,330078931,252306
5OndtwLGA9O6XHFcGm2H7r,321635622,63704
12M5uqx0ZuwkpLp5rJim1a,320808506,298940
1LLXZFeAHK9R4xUramtUKw,319863972,265876
5YqltLsjdqFtvqE7Nrysvs,317762784,393382
3zwMVvkBe2qIKDObWgXw4N,317019354,297069
6oVxXO5oQ4pTpO8RSnkzvv,315619389,363009
0PurA4JVJ8YQgSVopY8fn6,300388470,306858
6KJqZcs9XDgVck7Lg9QOTC,299992629,193475
0heeNYlwOGuUSe7TgUD27B,291012875,186942
3i9UVldZOE0aD0JnyfAZZ0,282434282,110880
2dgFqt3w9xIQRjhPtwNk3D,280305898,168192
5BK0uqwY9DNfZ630STAEaq,280161212,135094
77sMIMlNaSURUAXq5coCxE,279246232,356920
4OAuvHryIVv4kMDNSLuPt6,277933349,278306
6rZVy6FIG7lSJQMFXHo12z,276162105,86447
3Z1kZKYfRC8iRXnYeC5sCJ,271994304,53963
2VuqMjgoKaOHNM8HpxtXKx,270881725,232513
2YWtcWi3a83pdEg3Gif4Pd,267942094,165443
3yII7UwgLF6K5zW3xad3MP,267884169,286431
3RaT22zZsxVYxxKR7TAaYF,267771617,147964
0wavGRldH0AWyu2zvTz8zb,266996686,222655
0A1JLUlkZkp2EFrosoNQi0,265420068,234725
7HuBDWi18s4aJM8UFnNheH,261781371,177991
7dW84mWkdWE5a6lFWxJCBG,261365505,145038
3sW3oSbzsfecv9XoUdGs7h,260201200,511069
4txojlesMFQZGWxwz2EeqB,259510295,224758
4yBEU0askBZzE2XEVdEwmx,252123978,62700
3nsfB1vus2qaloUdcBZvDu,250979357,193737
5KD6AEm19QnMbfWpfoOHMl,248612164,556594
6qnM0XXPZOINWA778uNqQ9,245620788,69238
7HH8rEmkK5JENnv869MDCz,245279634,47863
7I7JbDv63ZJJsSi24DyJrz,244320518,239564
71BqAINEnezjQfxE4VuJfq,243877028,558083
5QVVjX0ZItqlVpEuVCM9Yg,240525367,212965
5kHMfzgLZP95O9NBy0ku4v,235504152,296491
0z9UVN8VBHJ9HdfYsOuuNf,231280755,43092
5hQSXkFgbxjZo9uCwd11so,228062528,179207
5yEPktRqvIhko5QFF3aBhQ,227475563,63404
4wFUdSCer8bdQsrp1M90sa,225467895,90292
0dBW6ZsW8skfvoRfgeerBF,221161769,54986
0dAb8TY433dl3ZfXYCLE19,218432824,32992
07NxDD1iKCHbAldceD7QLP,215905179,130375
19CSr8rwW05VJL2F91KFNK,212386404,121780
7zMcNqs55Mxer82bvZFkpg,211145420,101940
01K4zKU104LyJ8gMb7227B,211082317,129125
3O5osWf1rSoKMwe6E9ZaXP,209253395,135956
2QDyYdZyhlP2fp79KZX8Bi,207983157,117281
4CkgMiMqZ5JzW9iYXSTMTL,207470645,125680
12ntTeqEeTg7GAVpe8Mhpl,206714601,174968
7MbT4I8qGntX4fMdqMQgke,203487019,120352
3CWq0pAKKTWb0K4yiglDc4,195327220,666879
06WgOCf0LV2h4keYXDRnuh,193901949,31956
2o2sgVJIgFXk8GQjWTgI6U,191533649,272822
2ythurkTtSiyfK7GprJoFW,190663481,56914
7F5oktn5YOsR9eR5YsFtqb,190101505,121705
32mVHdy0bi1XKgr0ajsBlG,188941151,119709
1hjRhYpWyqDpPahmSlUTlc,186015226,486241
3z6XUommYDWPHeFhmhhT6j,185698542,96110
79uDOz0zuuWS7HWxzMmTa2,182189815,263662
73YUReisjb3A9ActdLLjJQ,181562585,99031
1XjHRolIXL2M1EEOUsGGR4,181426016,114134
6MWoRt97mnSTXZhu3ggi9C,181295895,102842
6xsEAm6w9oMQYYg3jkEkMT,180524947,83480
6d9IiDcFxtFVIvt9pCqyGH,180421006,47274
08fa9LFcFBTcilB3iq2e2A,179889767,95454
