TRACK_ID,TOTAL_STREAM,DAILY_STREAM
1BxfuPKGuaTgP7aM0Bbdwr,2854733753,1364358
1p80LdxRV74UKvL8gnD7ky,2065535746,691543
55n9yjI6qqXh5F2mYvUc2y,1869176567,633724
0V3wPSX9ygBnCm8psDIegu,1814808039,609933
1dGr1c8CrMLDpV6mPbImSI,1734270312,728972
4R2kfaDFhslZEMJqAFNpdd,1619153103,798464
5xTtaWoae3wi06K5WfVUUH,1611909987,634295
3hUxzQpSfdDqwM3ZTFQY0K,1434207165,764106
4lIxdJw6W3Fg4vUIYCB0S5,1376047790,452690
1R0a2iXumgCiFb7HEZ7gUE,1370381789,652426
1P17dC1amhFzptugyAO7Il,1301739810,394689
6NFyWDv5CjfwuzoCkw47Xf,1140744364,394850
59HjlYCeBsxdI0fcm3zglw,1057850631,259199
6RRNNciQGZEXnqk8SQ9yv5,1046544768,269396
5enxwA8aAbwZbf5qCHORXi,1009518760,432014
1vrd6UOGamcKNGnSHJQlSt,987912498,288859
0lx2cLdOt3piJbcaXIV74f,975312911,311947
6YvqWjhGD8mB5QXcbcUKtx,971583225,574160
2o2IVjuqRkR9hJxtPjtAP0,947177241,324776
2Rk4JlNc2TPmZe2af99d45,924028902,184319
7KokYm8cMIXCsGVmUvKtqf,912319642,301420
3RauEVgRgj1IuWdJ9fDs70,910424395,334160
5lg33MHs1BoUtJVClw8ZpI,908274036,274486
2OzhQlSqBEmt7hmkYxfT6m,898788775,889113
4pvb0WLRcMtbPGmtejJJ6y,895454840,422316
1K39ty6o1sHwwlZwO6a7wK,878597398,391305
2yLa0QULdQr0qAIvVwN6B5,878179265,353402
1qrpoAMXodY6895hGKoUpA,869214685,579121
5jQI2r1RdgtuT8S3iG8zFC,812961257,229061
0VE4kBnHJUgtMf0dy6DRmW,775149744,294639
3rWDp9tBPQR9z6U5YyRSK4,763137846,236273
4y5bvROuBDPr5fuwXbIBZR,743878449,273167
0sY6ZUTh4yoctD8VIXz339,731169361,242336
0VwNdo84DaVYLIkbVO86ND,724893062,174981
4D7BCuvgdJlYvlX5WlN54t,720898387,316324
3GCL1PydwsLodcpv0Ll1ch,714586090,240407
1ZY1PqizIl78geGM4xWlEA,672222746,205373
0Jlcvv8IykzHaSmj49uNW8,665608030,233449
1MgV7FIyNxIG7WzMRJV5HC,663165136,451546
273dCMFseLcVsoSWx59IoE,662078921,166855
4q5YezDOIPcoLr8R81x9qy,638269676,685053
3qoftcUZaUOncvIYjFSPdE,637063323,235732
2x0WlnmfG39ZuDmstl9xfX,558771356,155871
3eX0NZfLtGzoLUxPNvRfqm,534013307,193570
1fzAuUVbzlhZ1lJAx9PtY6,520254226,375774
2NmsngXHeC1GQ9wWrzhOMf,519468447,257933
1Iq8oo9XkmmvCQiGOfORiz,515335895,267831
4svZDCRz4cJoneBpjpx8DJ,513322481,185778
0ZNU020wNYvgW84iljPkPP,495826969,210069
22bPsP2jCgbLUvh82U0Z3M,488742095,227240
7kt9e9LFSpN1zQtYEl19o1,482000452,251047
1wtOxkiel43cVs0Yux5Q4h,479085636,118631
1GwMQaZz6Au3QLDbjbMdme,477788913,199376
3pHkh7d0lzM2AldUtz2x37,476373963,206591
214nt20w5wOxJnY462klLw,474166722,215037
1xwAWUI6Dj0WGC3KiUPN0O,468495058,152256
6AtZLIzUINvExIUy4QhdjP,448299389,247482
1SymEzIT3H8UZfibCs3TYi,446283262,178072
6VsvKPJ4xjVNKpI8VVZ3SV,440888566,191522
3DrjZArsPsoqbLzUZZV1Id,433294499,125241
17yraMKqmZIKAv3iaGcoLX,428866320,167759
5YqltLsjdqFtvqE7Nrysvs,424453570,209537
2P5gfMtCcKP0CkmgqFMyPg,423746417,104317
2F3N9tdombb64aW6VtZOdo,421733652,391595
2CYVETnhM9aytqrazYYwrK,421722249,148445
2Eeur20xVqfUoM3Q7EFPFt,412600458,122981
5kI4eCXXzyuIUXjQra0Cxi,412358470,131640
3zwMVvkBe2qIKDObWgXw4N,410474700,217462
