TRACK_ID,TOTAL_STREAM,DAILY_STREAM
1BxfuPKGuaTgP7aM0Bbdwr,2121683488,3314622
1p80LdxRV74UKvL8gnD7ky,1812180346,845294
55n9yjI6qqXh5F2mYvUc2y,1649938021,643566
0V3wPSX9ygBnCm8psDIegu,1542150270,1042383
5xTtaWoae3wi06K5WfVUUH,1395095831,667705
1dGr1c8CrMLDpV6mPbImSI,1388460611,1242378
4R2kfaDFhslZEMJqAFNpdd,1284991784,1080831
4lIxdJw6W3Fg4vUIYCB0S5,1203553664,647188
1P17dC1amhFzptugyAO7Il,1140640880,577670
1R0a2iXumgCiFb7HEZ7gUE,1101201623,896215
3hUxzQpSfdDqwM3ZTFQY0K,1080909584,1014880
6NFyWDv5CjfwuzoCkw47Xf,977170522,557818
59HjlYCeBsxdI0fcm3zglw,956358912,405815
6RRNNciQGZEXnqk8SQ9yv5,924298487,524620
1vrd6UOGamcKNGnSHJQlSt,883946243,396865
2Rk4JlNc2TPmZe2af99d45,854530376,268397
0lx2cLdOt3piJbcaXIV74f,834121322,547632
5enxwA8aAbwZbf5qCHORXi,831346713,569748
6FB3v4YcR57y4tXFcdxI1E,831041168,421920
10eBRyImhfqVvkiVEGf0N0,802048336,403382
7KokYm8cMIXCsGVmUvKtqf,764249351,678636
3RauEVgRgj1IuWdJ9fDs70,750957351,608450
4pvb0WLRcMtbPGmtejJJ6y,749037185,418583
6YvqWjhGD8mB5QXcbcUKtx,745432660,798625
1K39ty6o1sHwwlZwO6a7wK,719325293,638846
2yLa0QULdQr0qAIvVwN6B5,716997540,629894
5jQI2r1RdgtuT8S3iG8zFC,702389315,424646
0VwNdo84DaVYLIkbVO86ND,665435095,212898
0VE4kBnHJUgtMf0dy6DRmW,657064125,388474
3rWDp9tBPQR9z6U5YyRSK4,649906804,463422
1qrpoAMXodY6895hGKoUpA,646788443,715102
4y5bvROuBDPr5fuwXbIBZR,640723961,383246
3GCL1PydwsLodcpv0Ll1ch,638380198,267378
0sY6ZUTh4yoctD8VIXz339,604369843,419546
273dCMFseLcVsoSWx59IoE,597335423,246240
1ZY1PqizIl78geGM4xWlEA,590785118,302440
4D7BCuvgdJlYvlX5WlN54t,578228290,452026
0Jlcvv8IykzHaSmj49uNW8,565526147,295901
3qoftcUZaUOncvIYjFSPdE,527513980,419911
2x0WlnmfG39ZuDmstl9xfX,494133709,220506
1MgV7FIyNxIG7WzMRJV5HC,472748979,454380
3eX0NZfLtGzoLUxPNvRfqm,452911988,236175
4svZDCRz4cJoneBpjpx8DJ,437169259,252077
1wtOxkiel43cVs0Yux5Q4h,426129413,184770
0ZNU020wNYvgW84iljPkPP,412378944,259845
22bPsP2jCgbLUvh82U0Z3M,408092925,279029
2NmsngXHeC1GQ9wWrzhOMf,405236833,426248
1GwMQaZz6Au3QLDbjbMdme,398755658,225114
1Iq8oo9XkmmvCQiGOfORiz,397542174,497782
3pHkh7d0lzM2AldUtz2x37,395193685,301848
3DrjZArsPsoqbLzUZZV1Id,391552911,132844
1xwAWUI6Dj0WGC3KiUPN0O,391121269,289652
1fzAuUVbzlhZ1lJAx9PtY6,388851621,447832
6ce41JVa6KFaryfmC2bu2W,388002280,131779
7kt9e9LFSpN1zQtYEl19o1,387157259,263954
1SymEzIT3H8UZfibCs3TYi,377891792,227014
214nt20w5wOxJnY462klLw,371907975,459964
2CYVETnhM9aytqrazYYwrK,366210858,204166
6VsvKPJ4xjVNKpI8VVZ3SV,361506414,254806
2Eeur20xVqfUoM3Q7EFPFt,358040845,186289
17yraMKqmZIKAv3iaGcoLX,355423644,286459
5kI4eCXXzyuIUXjQra0Cxi,347856151,246500
6AtZLIzUINvExIUy4QhdjP,344630784,389341
7FmYn9e7KHMXcxqGSj9LjH,338237599,262716
15DeqWWQB4dcEWzJg15VrN,337946330,243038
43rA71bccXFGD4C8GOpIlN,335522994,147133
5YqltLsjdqFtvqE7Nrysvs,329367258,384621
12M5uqx0ZuwkpLp5rJim1a,327302671,210870
1LLXZFeAHK9R4xUramtUKw,326705061,214214
3zwMVvkBe2qIKDObWgXw4N,324754757,241079
6oVxXO5oQ4pTpO8RSnkzvv,324381734,267288
5OndtwLGA9O6XHFcGm2H7r,323577973,61063
0PurA4JVJ8YQgSVopY8fn6,308607968,242493
6KJqZcs9XDgVck7Lg9QOTC,305423404,179265
6dODwocEuGzHAavXqTbwHv,302441909,5466724
0heeNYlwOGuUSe7TgUD27B,294833603,124431
77sMIMlNaSURUAXq5coCxE,291435077,403680
3i9UVldZOE0aD0JnyfAZZ0,285873006,103000
2dgFqt3w9xIQRjhPtwNk3D,284984623,153345
4OAuvHryIVv4kMDNSLuPt6,284520818,207987
5BK0uqwY9DNfZ630STAEaq,284037211,130779
6rZVy6FIG7lSJQMFXHo12z,278875953,89102
3yII7UwgLF6K5zW3xad3MP,277100538,322729
