TRACK_ID,TOTAL_STREAM,DAILY_STREAM
1BxfuPKGuaTgP7aM0Bbdwr,2992846733,1551554
1p80LdxRV74UKvL8gnD7ky,2145150848,934000
55n9yjI6qqXh5F2mYvUc2y,1936215274,759961
0V3wPSX9ygBnCm8psDIegu,1869819951,542961
1dGr1c8CrMLDpV6mPbImSI,1811564835,901426
4R2kfaDFhslZEMJqAFNpdd,1700054510,921598
5xTtaWoae3wi06K5WfVUUH,1678740939,756929
3hUxzQpSfdDqwM3ZTFQY0K,1517643732,1092265
4lIxdJw6W3Fg4vUIYCB0S5,1455154050,1182440
1R0a2iXumgCiFb7HEZ7gUE,1435626662,685453
1P17dC1amhFzptugyAO7Il,1342833901,376088
6NFyWDv5CjfwuzoCkw47Xf,1188411450,540839
59HjlYCeBsxdI0fcm3zglw,1085575539,293937
6RRNNciQGZEXnqk8SQ9yv5,1073028391,268996
5enxwA8aAbwZbf5qCHORXi,1055019939,531751
6YvqWjhGD8mB5QXcbcUKtx,1028802179,564206
1vrd6UOGamcKNGnSHJQlSt,1020624061,372222
0lx2cLdOt3piJbcaXIV74f,1004883948,302059
2o2IVjuqRkR9hJxtPjtAP0,983431137,450809
2OzhQlSqBEmt7hmkYxfT6m,976341898,789805
2Rk4JlNc2TPmZe2af99d45,941455859,170038
7KokYm8cMIXCsGVmUvKtqf,941168908,304499
4pvb0WLRcMtbPGmtejJJ6y,940083681,573418
3RauEVgRgj1IuWdJ9fDs70,939758512,290000
5lg33MHs1BoUtJVClw8ZpI,937534516,298932
1qrpoAMXodY6895hGKoUpA,929749593,653154
2yLa0QULdQr0qAIvVwN6B5,918499556,473095
1K39ty6o1sHwwlZwO6a7wK,917731607,408897
5jQI2r1RdgtuT8S3iG8zFC,834915507,226820
0VE4kBnHJUgtMf0dy6DRmW,816632439,446799
3rWDp9tBPQR9z6U5YyRSK4,787798167,260273
4y5bvROuBDPr5fuwXbIBZR,770689226,277078
4D7BCuvgdJlYvlX5WlN54t,756456313,387211
0sY6ZUTh4yoctD8VIXz339,755081406,259681
0VwNdo84DaVYLIkbVO86ND,745701001,247509
3GCL1PydwsLodcpv0Ll1ch,742599308,324136
1MgV7FIyNxIG7WzMRJV5HC,709575310,523565
1ZY1PqizIl78geGM4xWlEA,695108711,208038
4q5YezDOIPcoLr8R81x9qy,692128800,478501
0Jlcvv8IykzHaSmj49uNW8,689280661,301695
273dCMFseLcVsoSWx59IoE,681343214,224064
3qoftcUZaUOncvIYjFSPdE,658910175,228039
2x0WlnmfG39ZuDmstl9xfX,579294513,221783
1fzAuUVbzlhZ1lJAx9PtY6,572387089,643328
3eX0NZfLtGzoLUxPNvRfqm,552433945,181579
2NmsngXHeC1GQ9wWrzhOMf,546356064,322794
1Iq8oo9XkmmvCQiGOfORiz,537506722,197527
4svZDCRz4cJoneBpjpx8DJ,534158083,188100
0ZNU020wNYvgW84iljPkPP,517324847,276286
22bPsP2jCgbLUvh82U0Z3M,515321537,341979
7kt9e9LFSpN1zQtYEl19o1,507303291,309481
1GwMQaZz6Au3QLDbjbMdme,505442038,290223
3pHkh7d0lzM2AldUtz2x37,498572169,227972
214nt20w5wOxJnY462klLw,496339676,216126
1wtOxkiel43cVs0Yux5Q4h,490714160,135833
1xwAWUI6Dj0WGC3KiUPN0O,482100623,133779
6AtZLIzUINvExIUy4QhdjP,467797594,143768
1SymEzIT3H8UZfibCs3TYi,464955605,203021
6VsvKPJ4xjVNKpI8VVZ3SV,461256014,261688
0W0iAC1VGlB82PI6elxFYf,455275532,446230
2F3N9tdombb64aW6VtZOdo,451922479,276812
3DrjZArsPsoqbLzUZZV1Id,451496735,228446
17yraMKqmZIKAv3iaGcoLX,445791649,172818
5YqltLsjdqFtvqE7Nrysvs,442609107,158980
2CYVETnhM9aytqrazYYwrK,437311626,155732
3sW3oSbzsfecv9XoUdGs7h,436658348,335512
2P5gfMtCcKP0CkmgqFMyPg,434660847,116783
3zwMVvkBe2qIKDObWgXw4N,433379971,283467
6oVxXO5oQ4pTpO8RSnkzvv,433170175,237819
2Eeur20xVqfUoM3Q7EFPFt,425631633,174439
5kI4eCXXzyuIUXjQra0Cxi,424873751,151553
7FmYn9e7KHMXcxqGSj9LjH,423420180,141862
7qGr3rjRhndRIpFUA5f2HJ,421061157,194857
77sMIMlNaSURUAXq5coCxE,412365858,227646
12M5uqx0ZuwkpLp5rJim1a,407422890,188902
1LLXZFeAHK9R4xUramtUKw,399668003,147884
0PurA4JVJ8YQgSVopY8fn6,396042558,150153
71BqAINEnezjQfxE4VuJfq,392167195,218295
5KD6AEm19QnMbfWpfoOHMl,391790006,192645
43rA71bccXFGD4C8GOpIlN,384419565,106248
36t6frENUtCYKuZus6aYDO,375495541,245553
3yII7UwgLF6K5zW3xad3MP,374246168,184478
