TRACK_ID,YESTERDAY_STREAM,TOTAL_STREAM,TODAY_STREAM
3yII7UwgLF6K5zW3xad3MP,167915,200572684,453826
77sMIMlNaSURUAXq5coCxE,439354,199839282,601855
7zMcNqs55Mxer82bvZFkpg,39911,191065243,124724
5hQSXkFgbxjZo9uCwd11so,101103,187018639,259241
06WgOCf0LV2h4keYXDRnuh,34016,185148779,87221
07NxDD1iKCHbAldceD7QLP,167863,182190186,215210
5QVVjX0ZItqlVpEuVCM9Yg,589167,178749767,965848
2ythurkTtSiyfK7GprJoFW,45688,178620924,87863
2QDyYdZyhlP2fp79KZX8Bi,88703,178361788,192834
4CkgMiMqZ5JzW9iYXSTMTL,154954,177940939,198659
19CSr8rwW05VJL2F91KFNK,182564,177647312,246709
01K4zKU104LyJ8gMb7227B,132681,175177303,245707
7MbT4I8qGntX4fMdqMQgke,84537,173581132,187861
3O5osWf1rSoKMwe6E9ZaXP,141174,172968796,252097
6d9IiDcFxtFVIvt9pCqyGH,40359,171583033,66163
5kHMfzgLZP95O9NBy0ku4v,466152,167513083,590066
6xsEAm6w9oMQYYg3jkEkMT,56676,164189430,123209
3z6XUommYDWPHeFhmhhT6j,70464,163929801,146801
32mVHdy0bi1XKgr0ajsBlG,127303,163053400,163210
2o2sgVJIgFXk8GQjWTgI6U,62094,162154969,188166
4dYUOfmWna6DFccnz732n8,54516,159708756,87930
6N1K5OVVCopBjGViHs2IvP,71129,159508905,120558
12ntTeqEeTg7GAVpe8Mhpl,210144,158780965,344499
08fa9LFcFBTcilB3iq2e2A,78941,155663774,157882
7F5oktn5YOsR9eR5YsFtqb,89982,155538504,191453
6MWoRt97mnSTXZhu3ggi9C,88944,154730521,167819
73YUReisjb3A9ActdLLjJQ,137810,154334579,186231
1XjHRolIXL2M1EEOUsGGR4,127175,149796399,211959
3k7ne7VmH43ZPWxPdvPUgR,92736,149105862,174974
7712gjoih4QoDbXpljEk21,121110,148618312,175523
3RBluWmSoG2pGA1OePzGJI,15290,146287125,42473
5PxFv9yJEg9dxvbZggykro,146004,145682391,194673
3wmN11qXGL0HyPojvEE1D9,33860,145117802,62705
3sW3oSbzsfecv9XoUdGs7h,563498,144046868,841043
0BiqmkasE5FdrChwKfVp8X,96802,143944194,189809
670fUmXf4KQekzbEgaXyPA,118339,141234608,197232
6iWMI5oOhWrDbLbjmwTWFq,70264,140071940,91253
6pYNq0ZwpPVazKzsqpf0G8,131882,139445129,212713
24DefNCFiWTP8OjYWiXuYe,37326,136439725,59249
7hZuICN5eaCuQyp443RCt6,13943,135980910,35753
4A2LfnduSTsE8u0ecYROxE,27099,134466217,69486
3jBMHD19RZdAqG9iFQh7xc,16146,128049485,52087
4AYtqFyFbX0Xkc2wtcygTr,54845,124619048,107540
5kiZGSxgqPdv6rbqL9THdd,70389,124618050,153021
1MaqkdFNIKPdpQGDzme5ss,29044,123998264,60509
2mvabkN1i2gLnGAPUVdwek,82591,123397678,192073
3xYJScVfxByb61dYHTwiby,303222,122596954,393795
4IQkfUsrwXol38VV3U7t7T,67843,121821232,104375
0eFQWVz0qIxDOvhLpZ40P7,131813,121273794,178127
4uoyvFGK43Of4v9tj0moxC,15172,120519749,41006
4h0EXpatqJImv4VRgvX6po,14573,117166382,40481
7qEUFOVcxRI19tbT68JcYK,99465,117104660,198931
4OmFmE0fzcMG6g0Y8p4eSD,77751,115942081,169025
4zmKGsrXjLmljb5fTaBTot,296295,113871635,400399
79uDOz0zuuWS7HWxzMmTa2,211211,113326265,480025
0Om9WAB5RS09L80DyOfTNa,71304,112630760,91416
1SmiQ65iSAbPto6gPFlBYm,74254,112562434,106078
2slqvGLwzZZYsT4K4Y1GBC,24359,109440744,56650
6Eu31gddWw0gOGO506pJYA,39283,109349248,59520
4t0OI7XrODjSkAu3bTPmWj,29763,109058876,39684
40PXEOFLJc7UIpLMrhSfW1,13060,107978483,29683
6wn61Fzx9XMxQmieLpoIhW,9802,105857654,24506
16MVSD0mGI4RMQT83Qzm69,39243,103660103,91264
6lzc0Al0zfZOIFsFvBS1ki,91726,103082461,117598
3oKMl2tJv4fdidkXUYMI5x,18342,103059282,39026
7G0gBu6nLdhFDPRLc0HdDG,134859,103015789,435030
35rdVq36LMHQX0Suw9a6tK,70849,101454461,124297
5vyxXfD5gLlyPxGZMEjtmd,28399,100485661,49824
3QF5RsWzK1lCvf2o2cY65P,92114,100299118,137485
6wAFvJPpTZVirBKGZ4EnMW,50241,99133446,125603
0v4z1tuZvn6LGknom9Qx7d,89912,98001989,140488
4CHpVfAhuxNJ3ibExe6kxO,51711,97583874,79556
28M2gifMU282QBM3fKajIS,14911,97471126,34677
73W5aXorr5vxrySFcoZqIN,38772,95409296,129243
6XDBA3QWX51lDJ0oZbaJJN,13303,94738461,32448
3S7HNKPakdwNEBFIVTL6dZ,64994,91351745,120361
4pNApnaUWAL2J4KO2eqokq,92306,89843978,128203
1msEuwSBneBKpVCZQcFTsU,61227,89522461,115523
0y6kdSRCVQhSsHSpWvTUm7,45347,89100825,137416
1kdWw77ZpYOkhxeuhzU1j6,98683,85734059,128160
2nqio0SfWg6gh2eCtfuMa5,56326,81475412,106276
05GsNucq8Bngd9fnd4fRa0,97217,81261652,121522
1wJL1A0QUHJPf2cm7tsrdw,21112,80930325,26725
0NwGC0v03ysCYINtg6ns58,102291,79355044,276464
73qMN9bXy7MSPwwGfH3wQr,84555,77518704,114264
5YL553x8sHderRBDlm3NM3,42929,76491150,107324
2r9CbjYgFhtAmcFv1cSquB,42739,76254775,97136
3oGVx9RBmiYGv5ZCecWLkx,38201,76148198,103246
3MytWN8L7shNYzGl4tAKRp,175052,74433806,269311
7eQj6r5PIdYKEIZjucBMcq,54738,74096263,91230
6IH2Z54gYPLqgJtxZjX80i,11803,73333619,15738
550erGcdD9n6PnwxrvYqZT,60709,72995044,87985
3r9bgSJlJz2zlevcBRYXko,10215,70476674,28377
7J4b3LVCIGO4CMBDFLPoP6,46374,70263733,92749
4hqJ4bSlYJOXb6Z4SRmzxs,122826,69106302,341185
1EQn3Uc5AyUXoiPLeyCrrg,9877,69003116,16463
4i6cwNY6oIUU2XZxPIw82Y,57697,67666356,125430
